ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|IPTarget|rtt1|rtt2|rtt3|avg_rtt
15399|WIFI|KE|41.212.33.99|102.140.245.135|Wananchi Group (Kenya) Limited|e6a17576-193f-490d-9c54-ed11f7efc77e|/Date(1561163825308+0000)/|9.9.9.9|111|411|106|209
15399|WIFI|KE|196.207.132.0|196.207.132.218|Wananchi Group Kenya|d1d3c909-435e-4822-932c-9fd550fea7fe|/Date(1561163827118+0000)/|9.9.9.9|58|60|58|58
30844|fiber|KE||41.72.207.30|Liquid Telecommunications Operations Limited|06f758af-a1be-4fa0-9c9d-506c471af39f|/Date(1561163859694+0000)/|9.9.9.9|57|57|57|57
37061|fiber|KE||41.90.12.102|Safaricom|a4be008c-815b-4861-83ce-118965889591|/Date(1561163859815+0000)/|9.9.9.9|50|49|49|49
23889|Unknown|MU||102.112.93.146|MauritiusTelecom|cc5fe38c-36f6-4b4e-9b32-a9d674adc9cf|/Date(1561163860411+0000)/|1.1.1.1|2|2|2|2
30999|WIFI|MU|102.163.97.0|102.163.96.1|Emtel|39847385-988a-4aad-a4d5-9d4297959ecd|/Date(1561164208007+0000)/|1.1.1.1|39|1066|35|380
23889|Unknown|MU||102.112.93.146|MauritiusTelecom|cc5fe38c-36f6-4b4e-9b32-a9d674adc9cf|/Date(1561163860723+0000)/|8.8.8.8|37|37|37|37
30999|WIFI|MU|102.163.97.0|102.163.96.1|Emtel|39847385-988a-4aad-a4d5-9d4297959ecd|/Date(1561164208030+0000)/|8.8.8.8|198|214|198|203
23889|Unknown|MU||102.112.93.146|MauritiusTelecom|cc5fe38c-36f6-4b4e-9b32-a9d674adc9cf|/Date(1561163861059+0000)/|9.9.9.9|2|2|2|2
30999|WIFI|MU|102.163.97.0|102.163.96.1|Emtel|39847385-988a-4aad-a4d5-9d4297959ecd|/Date(1561164207932+0000)/|9.9.9.9|227|219|219|221
21351|Unknown|RE||78.129.233.100|Mediaserv|7f5b2006-2507-483a-95e9-74ac40bd5a9b|/Date(1561163861576+0000)/|1.1.1.1|30|30|30|30
21351|Unknown|RE||78.129.233.100|Mediaserv|7f5b2006-2507-483a-95e9-74ac40bd5a9b|/Date(1561163861710+0000)/|8.8.8.8|75|75|74|74
