ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status
10474,Wireless80211,ZA,196.28.182.24,197.89.87.16,MWEB,5b482a4c-a0df-4c9c-8214-0980a24bc0f3,/Date(1561112883968+0000)/,8.8.8.8,2071,NoError
11845,Wireless80211,ZA,74.125.73.85,41.193.129.130,JHB FTTB Framed Routes,39d17338-1733-4563-89a2-5c4eca819b36,/Date(1561112848033+0000)/,9.9.9.9,4,NoError
37457,Wireless80211,ZA,196.43.50.229,105.186.246.237,Telkom Internet,2ec75c21-6154-446c-a898-e1d5b770beb9,/Date(1561112848416+0000)/,9.9.9.9,27,Refused
10474,Wireless80211,ZA,,197.86.149.77,MWEB,9d5f0633-8efd-4de8-bc54-d2231c67033a,/Date(1561112848770+0000)/,9.9.9.9,33,Refused
37457,Ethernet,ZA,196.43.42.232,105.225.85.156,Telkom Internet,627b3e16-ba7d-4768-a121-28017acbf3a8,/Date(1561112849612+0000)/,9.9.9.9,29,NoError
3741,Wireless80211,ZA,168.209.88.204,197.100.27.193,Internet Solutions,8643da6f-e6b4-45a1-a68e-a11dc2f15380,/Date(1561112854544+0000)/,9.9.9.9,72,Refused
37457,Wireless80211,ZA,196.43.46.231,105.184.191.67,Telkom Internet,b2ce9a9f-05a3-4f6c-be29-2fbb5ccd62fd,/Date(1561112861568+0000)/,9.9.9.9,2673,Refused
10474,Wireless80211,ZA,196.28.182.24,197.89.87.16,MWEB,5b482a4c-a0df-4c9c-8214-0980a24bc0f3,/Date(1561112887398+0000)/,9.9.9.9,2155,Refused
37154,Ethernet,ZM,165.56.45.0,165.56.63.21,Zambia Telecommunications Company Ltd aka ZAMTEL,e75edb01-0fd0-498f-b183-a4a75abc6661,/Date(1561112858519+0000)/,1.1.1.1,1820,NoError
37154,Ethernet,ZM,165.56.45.0,165.56.63.21,Zambia Telecommunications Company Ltd aka ZAMTEL,e75edb01-0fd0-498f-b183-a4a75abc6661,/Date(1561112858586+0000)/,8.8.8.8,471,NoError
37154,Ethernet,ZM,165.56.45.0,165.56.63.21,Zambia Telecommunications Company Ltd aka ZAMTEL,e75edb01-0fd0-498f-b183-a4a75abc6661,/Date(1561112864059+0000)/,9.9.9.9,109,NoError
37204,"Wireless80211,Ethernet",ZW,185.4.64.0,209.88.90.18,TELONE,858e0fed-e53b-4844-806b-be6b5465d5c1,/Date(1561112856208+0000)/,1.1.1.1,632,NoError
37204,Wireless80211,ZW,41.60.203.26,41.220.26.170,TELONE,db65c5ce-787f-4aba-9f1f-04ea833e9e74,/Date(1561112857842+0000)/,1.1.1.1,219,NoError
37204,Wireless80211,ZW,,41.220.26.170,TELONE,792c3306-a1a6-4bd8-86bb-357a09981670,/Date(1561112864944+0000)/,1.1.1.1,5148,NoError
37204,"Wireless80211,Ethernet",ZW,185.4.64.0,209.88.90.18,TELONE,858e0fed-e53b-4844-806b-be6b5465d5c1,/Date(1561112860892+0000)/,8.8.8.8,21,NoError
37204,Wireless80211,ZW,,41.220.26.170,TELONE,792c3306-a1a6-4bd8-86bb-357a09981670,/Date(1561112865967+0000)/,8.8.8.8,546,NoError
37204,Wireless80211,ZW,41.60.203.26,41.220.26.170,TELONE,db65c5ce-787f-4aba-9f1f-04ea833e9e74,/Date(1561112870859+0000)/,8.8.8.8,48,NoError
37204,"Wireless80211,Ethernet",ZW,185.4.64.0,209.88.90.18,TELONE,858e0fed-e53b-4844-806b-be6b5465d5c1,/Date(1561112863493+0000)/,9.9.9.9,29,Refused
37204,Wireless80211,ZW,,41.220.26.170,TELONE,792c3306-a1a6-4bd8-86bb-357a09981670,/Date(1561112868201+0000)/,9.9.9.9,55,Refused
